+,1000,1024,174
-,1000,1024,77
*,1000,1024,5697
/,1000,1024,496
+,10000,1024,173
-,10000,1024,102
*,10000,1024,4799
/,10000,1024,501
+,100000,1024,179
-,100000,1024,112
*,100000,1024,4667
/,100000,1024,493
+,1000,2048,293
-,1000,2048,137
*,1000,2048,16646
/,1000,2048,583
+,10000,2048,261
-,10000,2048,142
*,10000,2048,26514
/,10000,2048,602
+,100000,2048,260
-,100000,2048,168
*,100000,2048,28044
/,100000,2048,634
+,1000,4096,395
-,1000,4096,166
*,1000,4096,68016
/,1000,4096,907
+,10000,4096,433
-,10000,4096,225
*,10000,4096,88868
/,10000,4096,897
+,100000,4096,397
-,100000,4096,235
*,100000,4096,87732
/,100000,4096,886
